text_id	gold_type	f1_eval_note	gold_pairs	gold_n_pairs	final_n_pairs	matches_final_vs_gold	tag_empty_aspect	tag_long_term	tag_taxonomy_like	tag_summary	text	uid	profile	stage1_tuple_source	stage1_n_pairs	stage1_pairs	final_tuple_source	final_pairs	gold_tuple_source	delta_pairs_count	stage1_to_final_changed	stage1_to_final_changed_from_delta	guided_change	unguided_drift	matches_stage1_vs_gold	new_correct_in_final	new_wrong_in_final	risk_flagged	stage1_structural_risk	stage2_structural_risk	risk_resolution	polarity_conflict_raw	polarity_conflict_after_rep	stage_mismatch	unsupported_polarity	aspect_hallucination	alignment_failure_count	validator_s1_risk_ids	validator_s2_risk_ids	moderator_selected_stage	moderator_rules	episodic_memory_effect	memory_enabled	memory_retrieved_n	memory_used	memory_ids_or_hash
nikluge-sa-2022-train-01813	implicit	not evaluated for explicit F1	|positive	1	4	0	1	0	0	empty	블루진부터 세미정장까지 어느 스타일에 다 잘 어울리지요		paper_main	stage1_tuples	3	블루진|neutral;세미정장|neutral;스타일|neutral	final_tuples	블루진|neutral;세미정장|neutral;세미정장|positive;스타일|neutral	inputs.gold_tuples	1	1	0	0	1	0	0	4	1	1	0	1	1	1	0	1	1	2			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-02916	explicit		담크림 2종|positive	1	6	0	0	0	0		자외선과 폭염, 땀으로 자극받은 내 피부를 위해 여름에 사용하기 딱 좋은 #담크림 2종 준비했어요		paper_main	stage1_tuples	5	#담크림 2종|neutral;내 피부|neutral;땀|neutral;자외선|neutral;폭염|neutral	final_tuples	#담크림 2종|neutral;내 피부|neutral;땀|neutral;자외선|neutral;자외선|positive;폭염|neutral	inputs.gold_tuples	1	1	0	0	1	0	0	6	1	1	0	1	1	1	0	1	1	4			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-00016	implicit	not evaluated for explicit F1	|negative	1	2	0	1	0	0	empty	어제 샀는데 오늘 안 되더군.		paper_main	stage1_tuples	1	오늘|neutral	final_tuples	오늘|negative;오늘|neutral	inputs.gold_tuples	1	1	0	0	1	0	0	2	1	1	0	1	1	1	0	0	0	0			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-00037	explicit		배색|positive	1	4	0	0	0	0		배색도 핑크랑 그레이라 무난하면서도 칙칙하지 않다.		paper_main	stage1_tuples	3	그레이|neutral;배색도|neutral;핑크|neutral	final_tuples	그레이|neutral;배색도|neutral;배색도|positive;핑크|neutral	inputs.gold_tuples	1	1	0	0	1	0	0	4	1	1	0	1	1	1	0	1	1	2			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-01941	explicit		크림|positive	1	2	0	0	0	0		무겁지않고 산뜻하게 촉촉하게 바를수 있는 #크림		paper_main	stage1_tuples	1	#크림|neutral	final_tuples	#크림|neutral;#크림|positive	inputs.gold_tuples	1	1	0	0	1	0	0	2	1	1	0	1	1	1	0	1	1	1			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-02228	implicit	not evaluated for explicit F1	|positive	1	3	0	1	0	0	empty	세정력도 우수하고 세안 후 촉촉해요♥️		paper_main	stage1_tuples	2	세안 후|neutral;세정력|neutral	final_tuples	세안 후|neutral;세안 후|positive;세정력|neutral	inputs.gold_tuples	1	1	0	0	1	0	0	3	1	1	0	1	1	1	0	1	1	1			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-01546	implicit	not evaluated for explicit F1	|positive	1	3	0	1	0	0	empty	자고나면 어깨와 목이 풀린 느낌이고.. 시원하달까..개운해요^^		paper_main	stage1_tuples	2	목|neutral;어깨|neutral	final_tuples	목|neutral;어깨|neutral;어깨|positive	inputs.gold_tuples	1	1	0	0	1	0	0	3	1	1	0	1	1	1	0	1	1	1			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-02325	explicit		수분에센스겔타입|positive	1	3	0	0	0	0		수분에센스겔타입이라 끈적임도 없음☝️		paper_main	stage1_tuples	2	끈적임|neutral;수분에센스겔타입|neutral	final_tuples	끈적임|neutral;끈적임|positive;수분에센스겔타입|neutral	inputs.gold_tuples	1	1	0	0	1	0	0	3	1	1	0	1	1	1	0	1	1	2			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-01649	implicit	not evaluated for explicit F1	|positive	1	4	0	1	0	0	empty	리무버 없이 물로도 지울 수 있어 손톱 손상이 없어요~		paper_main	stage1_tuples	3	리무버|neutral;물|neutral;손톱 손상|neutral	final_tuples	리무버|neutral;물|neutral;물|positive;손톱 손상|neutral	inputs.gold_tuples	1	1	0	0	1	0	0	4	1	1	0	1	1	1	0	1	1	2			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-02909	implicit	not evaluated for explicit F1	|positive	1	4	0	1	0	0	empty	까무잡잡한 부위에 꾸준히 사용하니 점점 하얘지기도 하고 평소 고민이던 등드름도 사라지게 해줘서 넘나 좋은 ㅎㅎ		paper_main	stage1_tuples	3	까무잡잡한 부위|neutral;등드름|neutral;하얘지기|neutral	final_tuples	까무잡잡한 부위|neutral;등드름|neutral;등드름|positive;하얘지기|neutral	inputs.gold_tuples	1	1	0	0	1	0	0	4	1	1	0	1	1	1	0	1	1	2			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-01743	implicit	not evaluated for explicit F1	|positive	1	4	0	1	0	0	empty	요즘 나의 관심사는 내피부를 더 #꿀피부로 만들어줄 제품 사용하기		paper_main	stage1_tuples	3	관심사|neutral;내피부|neutral;제품|neutral	final_tuples	관심사|positive;내피부|neutral;내피부|positive;제품|neutral	inputs.gold_tuples	1	1	1	1	0	0	0	4	1	1	0	1	1	1	0	1	1	2			stage2	RuleB	1	0	0	0	
nikluge-sa-2022-train-00448	implicit	not evaluated for explicit F1	|positive	1	3	0	1	0	0	empty	악건성인데도 충분히 촉촉하구요 ㅎㅎ		paper_main	stage1_tuples	2	악건성|neutral;촉촉|neutral	final_tuples	악건성|neutral;악건성|positive;촉촉|neutral	inputs.gold_tuples	1	1	0	0	1	0	0	3	1	1	0	1	1	1	0	1	1	2	CONTRAST_SCOPE		stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-01811	implicit	not evaluated for explicit F1	|positive	1	2	0	1	0	0	empty	요번 #여행 갔을때 원피스에 입었는데 예뻐~		paper_main	stage1_tuples	1	원피스|neutral	final_tuples	원피스|neutral;원피스|positive	inputs.gold_tuples	1	1	0	0	1	0	0	2	1	1	0	1	1	1	0	0	0	0			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-02973	implicit	not evaluated for explicit F1	|positive	1	2	0	1	0	0	empty	이렇게 간편할수가 신세계임		paper_main	stage1_tuples	1	신세계|neutral	final_tuples	신세계|neutral;신세계|positive	inputs.gold_tuples	1	1	0	0	1	0	0	2	1	1	0	1	1	1	0	1	1	1			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-00969	explicit		프릴장식|positive	1	3	0	0	0	0		아담한사이즈 그리고 #프릴장식 까지 넘 사랑스런 #토끼인형		paper_main	stage1_tuples	3	아담한사이즈|neutral;토끼인형|neutral;프릴장식|neutral	final_tuples	아담한사이즈|positive;토끼인형|neutral;프릴장식|neutral	inputs.gold_tuples	0	1	1	1	0	0	0	3	1	1	0	1	0	0	0	1	1	2			stage2	RuleB	1	0	0	0	
nikluge-sa-2022-train-02944	implicit	not evaluated for explicit F1	|positive	1	4	0	1	0	0	empty	역시 바르고 난 직후에는 이렇게 맨들거리지만 금방 바로 흡수되어 버린답니다.		paper_main	stage1_tuples	2	바르고 난 직후|neutral;흡수|neutral	final_tuples	바르고 난 직후|positive;흡수|negative;흡수|neutral;흡수|positive	inputs.gold_tuples	2	1	1	1	0	0	0	4	1	1	0	1	1	1	0	1	1	2	CONTRAST_SCOPE		stage2	RuleB	1	0	0	0	
nikluge-sa-2022-train-02208	implicit	not evaluated for explicit F1	|positive	1	3	0	1	0	0	empty	모공, 각질 부각이 되지 않네요		paper_main	stage1_tuples	2	각질 부각|neutral;모공|neutral	final_tuples	각질 부각|neutral;각질 부각|positive;모공|neutral	inputs.gold_tuples	1	1	0	0	1	0	0	3	1	1	0	1	1	1	0	1	1	1			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-00643	implicit	not evaluated for explicit F1	|positive	1	3	0	1	0	0	empty	99.9% 자연유래의 착한 성분들이라서 안심하고 사용할 수 있는 여성을 위한 제품이랍니당		paper_main	stage1_tuples	2	99.9% 자연유래의 착한 성분들|neutral;여성을 위한 제품|neutral	final_tuples	99.9% 자연유래의 착한 성분들|positive;여성을 위한 제품|negative;여성을 위한 제품|positive	inputs.gold_tuples	1	1	1	1	0	0	0	3	1	1	0	1	1	1	0	1	1	2			stage2	RuleB	1	0	0	0	
nikluge-sa-2022-train-00617	explicit		더블유드레스룸]드레스퍼퓸 양양서핑향|positive	1	3	0	0	1	0	long	잠잘 때 좋은 향 맡으면 더 잠이 잘와서 베개에 뿌려주면서 매일 사용하는 [더블유드레스룸]드레스퍼퓸 양양서핑향		paper_main	stage1_tuples	3	드레스퍼퓸 양양서핑향|neutral;베개|neutral;향|neutral	final_tuples	드레스퍼퓸 양양서핑향|neutral;드레스퍼퓸 양양서핑향|positive;베개|neutral	inputs.gold_tuples	0	1	0	0	1	0	0	3	1	1	0	1	1	1	0	1	1	3			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-01914	implicit	not evaluated for explicit F1	|positive	1	7	0	1	0	0	empty	세럼,오일,미스트,토너,앰플을 한병에 쏘옥~ 담아 #승무원세럼 이라고 부르지요~		paper_main	stage1_tuples	7	#승무원세럼|neutral;미스트|neutral;세럼|neutral;앰플|neutral;오일|neutral;토너|neutral;한병|neutral	final_tuples	미스트|neutral;세럼|neutral;앰플|neutral;오일|neutral;오일|positive;토너|neutral;한병|neutral	inputs.gold_tuples	0	1	0	0	1	0	0	7	1	1	0	1	1	1	0	1	1	4			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-01320	explicit		여성청결제|positive	1	5	0	0	0	0		그리고 pH 밸런스를 약산성으로 유지시켜주는 #순한여성청결제라 민감한 부위도 안심하고 케어할 수 있을 것 같더라고요~👍		paper_main	stage1_tuples	4	ph 밸런스|neutral;민감한 부위|neutral;순한여성청결제|neutral;약산성|neutral	final_tuples	ph 밸런스|neutral;민감한 부위|neutral;순한여성청결제|neutral;약산성|neutral;약산성|positive	inputs.gold_tuples	1	1	0	0	1	0	0	5	1	1	0	1	1	1	0	1	1	3			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-01495	explicit		보습폼클렌저|positive	1	5	0	0	0	0		쫀쫀한 미세버블이 메이크업을 효과적으로 제거해주고 피부는 촉촉하게 가꿔주는 #보습폼클렌저		paper_main	stage1_tuples	4	메이크업|neutral;보습폼클렌저|neutral;쫀쫀한 미세버블|neutral;피부|neutral	final_tuples	메이크업|neutral;보습폼클렌저|neutral;쫀쫀한 미세버블|neutral;피부|neutral;피부|positive	inputs.gold_tuples	1	1	0	0	1	0	0	5	1	1	0	1	1	1	0	1	1	3			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-01919	explicit		마스크팩|positive	1	3	0	0	0	0		피부에따라 골라쓰기 좋은 #마스크팩		paper_main	stage1_tuples	2	마스크팩|neutral;피부|neutral	final_tuples	마스크팩|neutral;피부|neutral;피부|positive	inputs.gold_tuples	1	1	0	0	1	0	0	3	1	1	0	1	1	1	0	1	1	1			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-00578	explicit		758레드 컬러|positive	1	3	0	0	0	0		#디올선미레드 라는 애칭이 벌써 붙었을만큼 핫한 #758레드 컬러는 &name&씨도 사용했네욤!💄		paper_main	stage1_tuples	2	#758레드 컬러|neutral;#디올선미레드|neutral	final_tuples	#758레드 컬러|positive;#디올선미레드|neutral;#디올선미레드|positive	inputs.gold_tuples	1	1	1	1	0	0	0	3	1	1	0	1	1	1	0	1	1	2			stage2	RuleB	1	0	0	0	
nikluge-sa-2022-train-00829	implicit	not evaluated for explicit F1	|positive	1	2	0	1	0	0	empty	어머 너무 예뻐 >_<..		paper_main	stage1_tuples	1	예뻐|neutral	final_tuples	예뻐|neutral;예뻐|positive	inputs.gold_tuples	1	1	0	0	1	0	0	2	1	1	0	1	1	1	0	1	1	1			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-00591	implicit	not evaluated for explicit F1	|positive	1	5	0	1	0	0	empty	요즘 컨디션도 안 좋고 건조해서 그런지 부쩍 칙칙하고 푸석한 피부 때문에 고민이었는데 소문난 제품 써보기 전에 둑흔둑흔~ㅎㅎ		paper_main	stage1_tuples	5	건조|neutral;제품|neutral;칙칙하고 푸석한 피부|neutral;컨디션|neutral;피부|neutral	final_tuples	건조|neutral;제품|negative;제품|neutral;칙칙하고 푸석한 피부|neutral;컨디션|neutral	inputs.gold_tuples	0	1	0	0	1	0	0	5	1	1	0	1	1	1	0	1	1	4	CONTRAST_SCOPE		stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-00968	explicit		향|positive	1	1	0	0	0	0		남녀모두사용할 수 있는 향		paper_main	stage1_tuples	1	남녀모두사용할 수 있는 향|neutral	final_tuples	남녀모두사용할 수 있는 향|neutral	inputs.gold_tuples	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-00672	explicit		앰플|positive	1	7	0	0	0	0		5. 에스테틱, 피부과 가지 않아도 집에서 편하게 피부 관리 가능한 앰플 써보고나니 다 공감가는 장점들이에요		paper_main	stage1_tuples	6	앰플|neutral;에스테틱|neutral;장점들|neutral;집|neutral;피부 관리|neutral;피부과|neutral	final_tuples	앰플|neutral;에스테틱|neutral;장점들|neutral;집|neutral;피부 관리|neutral;피부과|neutral;피부과|positive	inputs.gold_tuples	1	1	0	0	1	0	0	7	1	1	0	1	1	1	0	1	1	5			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-00772	implicit	not evaluated for explicit F1	|positive	1	3	0	1	0	0	empty	#명품칫솔 달라도 다른게 양치후 잇몸도 많이 붓기도 했는데 붓지도 않고 👍		paper_main	stage1_tuples	2	명품칫솔|neutral;잇몸|neutral	final_tuples	명품칫솔|neutral;명품칫솔|positive;잇몸|neutral	inputs.gold_tuples	1	1	0	0	1	0	0	3	1	1	0	1	1	1	0	1	1	2	CONTRAST_SCOPE		stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-00030	implicit	not evaluated for explicit F1	|negative	1	2	0	1	0	0	empty	ㅜ ㅜ 테이크폰처럼 만들어주던가 멋을 내려면 아크..		paper_main	stage1_tuples	1	테이크폰|neutral	final_tuples	테이크폰|negative;테이크폰|neutral	inputs.gold_tuples	1	1	0	0	1	0	0	2	1	1	0	1	1	1	0	0	0	0			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-00474	implicit	not evaluated for explicit F1	|positive	1	2	0	1	0	0	empty	인정		paper_main	stage1_tuples	1	인정|neutral	final_tuples	인정|neutral;인정|positive	inputs.gold_tuples	1	1	0	0	1	0	0	2	1	1	0	1	1	1	0	0	0	0			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-00805	implicit	not evaluated for explicit F1	|positive	1	3	0	1	0	0	empty	민낯에도 좋은 일명 #쌩얼크림		paper_main	stage1_tuples	2	#쌩얼크림|neutral;민낯|neutral	final_tuples	#쌩얼크림|neutral;#쌩얼크림|positive;민낯|neutral	inputs.gold_tuples	1	1	0	0	1	0	0	3	1	1	0	1	1	1	0	0	0	0			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-02745	implicit	not evaluated for explicit F1	|positive	1	6	0	1	0	0	empty	예전에는 빗질1도 안되고 모발이 부스스하고 건조한게 정말 한숨밖에 안나왔는데 한달두달 사용하고 나니 확실히 윤기있고 좋아졌네요✨		paper_main	stage1_tuples	5	건조한게|neutral;모발|neutral;부스스|neutral;빗질1|neutral;윤기|neutral	final_tuples	모발|negative;모발|neutral;모발|positive;부스스|positive;빗질1|neutral;윤기|positive	inputs.gold_tuples	1	1	1	1	0	0	0	6	1	1	0	1	1	1	0	1	1	4	CONTRAST_SCOPE		stage2	RuleB	1	0	0	0	
nikluge-sa-2022-train-01160	implicit	not evaluated for explicit F1	|positive	1	2	0	1	0	0	empty	요거 아주 효과 좋네요👍		paper_main	stage1_tuples	1	효과|neutral	final_tuples	효과|neutral;효과|positive	inputs.gold_tuples	1	1	0	0	1	0	0	2	1	1	0	1	1	1	0	1	1	1			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-01814	implicit	not evaluated for explicit F1	|positive	1	3	0	1	0	0	empty	미백주름개선에 자외선차단까지 하나만 발라도 ok!		paper_main	stage1_tuples	2	미백주름개선|neutral;자외선차단|neutral	final_tuples	미백주름개선|neutral;자외선차단|neutral;자외선차단|positive	inputs.gold_tuples	1	1	0	0	1	0	0	3	1	1	0	1	1	1	0	1	1	1			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-00186	implicit	not evaluated for explicit F1	|positive	1	3	0	1	0	0	empty	정말 요즘 없어서는 안될 내 화장대의 필수템들!		paper_main	stage1_tuples	2	내 화장대|neutral;필수템들|neutral	final_tuples	내 화장대|neutral;내 화장대|positive;필수템들|neutral	inputs.gold_tuples	1	1	0	0	1	0	0	3	1	1	0	1	1	1	0	1	1	2			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-01105	explicit		데코뷰 모기장|positive	1	6	0	0	0	0		모기나 벌레에 알러지반응이 심하게 올라오는 아기피부인지라 이젠 데코뷰 모기장으로 자는내내 지켜주고 있네요😊		paper_main	stage1_tuples	5	데코뷰 모기장|neutral;모기|neutral;벌레|neutral;아기피부|neutral;알러지반응|neutral	final_tuples	모기|neutral;벌레|neutral;아기피부|neutral;알러지반응|negative;알러지반응|neutral;알러지반응|positive	inputs.gold_tuples	1	1	0	0	1	0	0	6	1	1	0	1	1	1	0	1	1	4			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-02457	implicit	not evaluated for explicit F1	|positive	1	1	0	1	0	0	empty	다른홋수도 쟁여야게뜸!!!!		paper_main	trace_atsa	1	|neutral	inputs.aspect_sentiments	|neutral	inputs.gold_tuples	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0			stage1	RuleB	0	0	0	0	
nikluge-sa-2022-train-01013	implicit	not evaluated for explicit F1	|negative	1	4	0	1	0	0	empty	필립스같은 유명 브랜드는 아니지만 이슈가 된 전자파테스트도 통과했다네요.		paper_main	stage1_tuples	3	유명 브랜드|neutral;전자파테스트|neutral;필립스|neutral	final_tuples	유명 브랜드|negative;전자파테스트|neutral;필립스|neutral;필립스|positive	inputs.gold_tuples	1	1	1	1	0	0	0	4	1	1	0	1	1	1	0	1	1	2	CONTRAST_SCOPE		stage2	RuleB	1	0	0	0	
nikluge-sa-2022-train-00145	implicit	not evaluated for explicit F1	|positive	1	3	0	1	0	0	empty	실험을 해서 봐도 아주 .. 흡수도 잘 되고 뽀송해 ..		paper_main	stage1_tuples	2	뽀송|neutral;흡수|neutral	final_tuples	뽀송|neutral;흡수|neutral;흡수|positive	inputs.gold_tuples	1	1	0	0	1	0	0	3	1	1	0	1	1	1	0	1	1	2			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-01797	implicit	not evaluated for explicit F1	|positive	1	2	0	1	0	0	empty	너무 좋아 지인들에게도 추천해 줬었는데 정말 기대되네요^^		paper_main	stage1_tuples	1	지인들|neutral	final_tuples	지인들|neutral;지인들|positive	inputs.gold_tuples	1	1	0	0	1	0	0	2	1	1	0	1	1	1	0	0	0	0			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-02575	explicit		수분감|positive;제형|positive	2	3	0	0	0	0		쫀쫀한 제형이 가볍고 수분감 가득하게 발리는게 요즘 사용하기 딱 좋아!		paper_main	stage1_tuples	2	수분감|neutral;쫀쫀한 제형|neutral	final_tuples	수분감|neutral;쫀쫀한 제형|neutral;쫀쫀한 제형|positive	inputs.gold_tuples	1	1	0	0	1	0	0	3	1	1	0	1	1	1	0	1	1	2			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-02921	explicit		nars|positive	1	1	0	0	0	0		내 인생 립스틱 NARS		paper_main	stage1_tuples	1	립스틱|neutral	final_tuples	립스틱|neutral	inputs.gold_tuples	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-00746	explicit		블룸샤워기|positive	1	5	0	0	0	0		다섯식구에 하루 사용하는 샤워만해도 물 사용량.. 정말 만만치 않은데 #수압상승 #블룸샤워기 덕분에 물절약도 되고 수압도 이전보다 2~4배 상승:)		paper_main	stage1_tuples	3	물 사용량|neutral;물절약|neutral;수압|neutral	final_tuples	물 사용량|neutral;물절약|negative;물절약|neutral;물절약|positive;수압|neutral	inputs.gold_tuples	2	1	0	0	1	0	0	5	1	1	0	1	1	1	0	1	1	3			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-01833	implicit	not evaluated for explicit F1	|positive	1	2	0	1	0	0	empty	보습을 꽉꽉 채워주네요~		paper_main	stage1_tuples	1	보습|neutral	final_tuples	보습|neutral;보습|positive	inputs.gold_tuples	1	1	0	0	1	0	0	2	1	1	0	1	1	1	0	0	0	0			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-00327	implicit	not evaluated for explicit F1	|positive	1	2	0	1	0	0	empty	예민한 피부에도 추천!		paper_main	stage1_tuples	1	피부|neutral	final_tuples	피부|neutral;피부|positive	inputs.gold_tuples	1	1	0	0	1	0	0	2	1	1	0	1	1	1	0	0	0	0			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-02335	explicit		로즈워터|positive	1	3	0	0	0	0		생기 있는 피부로 가꿔주는 건조할때 쓰면 좋은 #로즈워터 🌹		paper_main	stage1_tuples	2	로즈워터|neutral;피부|neutral	final_tuples	로즈워터|neutral;피부|neutral;피부|positive	inputs.gold_tuples	1	1	0	0	1	0	0	3	1	1	0	1	1	1	0	1	1	2			stage2	RuleB	0	0	0	0	
