text_id	uid	profile	gold_type	f1_eval_note	stage1_tuple_source	stage1_n_pairs	stage1_pairs	final_tuple_source	final_n_pairs	final_pairs	final_n_pairs_raw	final_pairs_raw	final_n_pairs_after_rep	final_pairs_after_rep	gold_tuple_source	gold_n_pairs	gold_pairs	gold_n_explicit_pairs	gold_n_implicit_pairs	gold_audit_verdict	delta_pairs_count	stage1_to_final_changed	stage1_to_final_changed_from_delta	guided_change	unguided_drift	matches_stage1_vs_gold	matches_final_vs_gold	new_correct_in_final	new_wrong_in_final	risk_flagged	stage1_structural_risk	stage2_structural_risk	risk_resolution	polarity_conflict_raw	polarity_conflict_after_rep	stage_mismatch	unsupported_polarity	aspect_hallucination	alignment_failure_count	validator_s1_risk_ids	validator_s2_risk_ids	moderator_selected_stage	moderator_rules	drift_cause_tag	stage2_adopted_but_no_change	episodic_memory_effect	memory_enabled	memory_retrieved_n	memory_used	memory_injected_chars	memory_ids_or_hash	text
nikluge-sa-2022-train-01707		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	2	수면팩|neutral;피부|neutral	final_tuples	3	수면팩|neutral;피부|neutral;피부|positive	3	수면팩|neutral;피부|neutral;피부|positive	2	수면팩|neutral;피부|positive	inputs.gold_tuples	1	|positive	0	1	implicit	1	1	1	0	1	0	0	0	3	1	1	0	1	1	1	0	1	1	1			stage2	RuleB	stage2_selected	0	0	1	3	1	1433	epi_000001;epi_000002;epi_000003	자기 전 듬뿍 발라 수면팩으로 사용하면 아침에 피부가 보들보들 쫀쫀하느낌이에요
nikluge-sa-2022-train-02651		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	2	각질제거|neutral;피지제거|neutral	final_tuples	3	각질제거|neutral;각질제거|positive;피지제거|neutral	3	각질제거|neutral;각질제거|positive;피지제거|neutral	2	각질제거|neutral;피지제거|neutral	inputs.gold_tuples	1	|positive	0	1	implicit	1	1	1	0	1	0	0	0	3	1	1	0	1	1	1	0	0	0	0			stage2	RuleB	stage2_selected	0	0	1	3	1	0	epi_000001;epi_000002;epi_000003	#각질제거 #피지제거 바르기만 하면 끝!
nikluge-sa-2022-train-02131		paper_main	explicit		stage1_tuples	3	군더더기|neutral;디자인|neutral;북유럽풍|neutral	final_tuples	4	군더더기|neutral;군더더기|positive;디자인|neutral;북유럽풍|neutral	4	군더더기|neutral;군더더기|positive;디자인|neutral;북유럽풍|neutral	3	군더더기|neutral;디자인|neutral;북유럽풍|neutral	inputs.gold_tuples	1	북유럽풍|positive	1	0	explicit	1	1	1	0	1	0	0	0	4	1	1	0	1	1	1	0	1	1	1			stage2	RuleB	stage2_selected	0	0	1	3	1	1433	epi_000008;epi_000009;epi_000008	디자인도 북유럽풍에 군더더기없어요~
nikluge-sa-2022-train-01813		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	3	블루진|neutral;세미정장|neutral;스타일|neutral	final_tuples	4	블루진|negative;블루진|neutral;세미정장|neutral;스타일|neutral	4	블루진|negative;블루진|neutral;세미정장|neutral;스타일|neutral	3	블루진|negative;세미정장|neutral;스타일|neutral	inputs.gold_tuples	1	|positive	0	1	implicit	1	1	1	0	1	0	0	0	4	1	1	0	1	1	1	1	1	1	2			stage2	RuleB,RuleM,RuleD,RuleE	stage2_selected	0	0	1	3	1	1433	epi_000001;epi_000002;epi_000003	블루진부터 세미정장까지 어느 스타일에 다 잘 어울리지요
nikluge-sa-2022-train-00356		paper_main	explicit		stage1_tuples	1	사진찍기놀이 소품|neutral	final_tuples	2	사진찍기놀이 소품|neutral;사진찍기놀이 소품|positive	2	사진찍기놀이 소품|neutral;사진찍기놀이 소품|positive	1	사진찍기놀이 소품|positive	inputs.gold_tuples	1	사진찍기놀이 소품|positive	1	0	explicit	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	0	0	0			stage2	RuleB	stage2_selected	0	0	1	3	1	0	epi_000001;epi_000002;epi_000003	사진찍기놀이 소품으로도 좋아!🖒
nikluge-sa-2022-train-02916		paper_main	explicit		stage1_tuples	5	#담크림 2종|neutral;내 피부|neutral;땀|neutral;자외선|neutral;폭염|neutral	final_tuples	6	#담크림 2종|neutral;내 피부|neutral;내 피부|positive;땀|neutral;자외선|neutral;폭염|neutral	6	#담크림 2종|neutral;내 피부|neutral;내 피부|positive;땀|neutral;자외선|neutral;폭염|neutral	5	#담크림 2종|neutral;내 피부|neutral;땀|neutral;자외선|neutral;폭염|neutral	inputs.gold_tuples	1	담크림 2종|positive	1	0	explicit	1	1	1	0	1	0	0	0	6	1	1	0	1	1	1	0	1	1	4			stage2	RuleB	stage2_selected	0	0	1	3	1	1433	epi_000001;epi_000002;epi_000003	자외선과 폭염, 땀으로 자극받은 내 피부를 위해 여름에 사용하기 딱 좋은 #담크림 2종 준비했어요
nikluge-sa-2022-train-00546		paper_main	explicit		stage1_tuples	1	부피|neutral	final_tuples	2	부피|neutral;부피|positive	2	부피|neutral;부피|positive	1	부피|neutral	inputs.gold_tuples	1	부피|positive	1	0	explicit	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	0	0	0			stage2	RuleB	stage2_selected	0	0	1	3	1	0	epi_000001;epi_000002;epi_000003	동글동글 부피가 작아서 어디든지 챙겨다닐 수 있어서 굿굿~
nikluge-sa-2022-train-00016		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	1	오늘|neutral	final_tuples	1	오늘|neutral	1	오늘|neutral	1	오늘|neutral	inputs.gold_tuples	1	|negative	0	1	implicit	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0			stage2	RuleB		1	0	1	3	1	0	epi_000008;epi_000009;epi_000008	어제 샀는데 오늘 안 되더군.
nikluge-sa-2022-train-02850		paper_main	explicit		stage1_tuples	2	냄새|neutral;피부|neutral	final_tuples	2	냄새|neutral;피부|neutral	2	냄새|neutral;피부|neutral	2	냄새|neutral;피부|neutral	inputs.gold_tuples	1	냄새|neutral	1	0	explicit	0	0	0	0	0	1	1	0	1	1	1	0	1	0	0	0	1	1	2			stage2	RuleB		1	0	1	3	1	1433	epi_000001;epi_000002;epi_000003	봄도 오고 피부도 푸석해서 최근에 #플라본세럼 을 사전출시전에 협찬받아서 써봤는데, #솔직한후기 로는 냄새는 #호블호 갈림..
nikluge-sa-2022-train-00037		paper_main	explicit		stage1_tuples	3	그레이|neutral;배색|neutral;핑크|neutral	final_tuples	4	그레이|neutral;배색|neutral;핑크|neutral;핑크|positive	4	그레이|neutral;배색|neutral;핑크|neutral;핑크|positive	3	그레이|neutral;배색|neutral;핑크|neutral	inputs.gold_tuples	1	배색|positive	1	0	explicit	1	1	1	0	1	0	0	0	4	1	1	0	1	1	1	0	1	1	1			stage2	RuleB	stage2_selected	0	0	1	3	1	1433	epi_000008;epi_000009;epi_000008	배색도 핑크랑 그레이라 무난하면서도 칙칙하지 않다.
